2,D,8,,I,G,4,,E,,,,,,,,L,,,,,,F,J,
E,,,F,P,,,,9,,,C,4,,5,J,2,,3,N,,D,M,H,7
,,4,,A,,,,K,C,E,N,,,M,,B,,,,G,,,,
N,,9,K,,,B,5,,,A,,J,,1,,,,8,,6,C,,3,
L,,,,,F,,,,M,B,,3,,,K,E,,,,,4,,A,
,7,A,,3,4,,,C,N,,E,9,,P,D,O,,,,8,,G,6,
P,2,,,H,,,1,,,,M,,8,,G,,,5,3,E,B,,I,
,,M,,,L,8,,,9,H,4,,,,,,B,,K,,7,,,F
K,8,,B,,O,,,J,A,,,7,G,D,4,M,I,,,P,1,,,L
,,N,4,,,,,I,,1,,,5,3,,,9,6,,,,C,O,M
,,,,,,,,,P,,,C,3,9,,H,,,,,,,,
,,,N,,3,L,,F,2,4,,O,,7,,C,K,,,M,,,,J
3,,,C,,6,D,,,5,,B,,,,M,,2,J,,F,,,1,
,,G,A,B,7,,N,,H,5,J,E,,,,I,,9,,,,6,C,K
,1,H,,,,I,,,J,,K,,,6,,,,,L,,,A,,
,K,,M,D,,3,,H,G,,,5,,,N,,,7,,,,L,B,P
,,2,8,,E,C,6,,,,,D,,G,5,,M,O,I,,,,C,
,,B,9,,,,,,,8,L,,,,E,,,,1,,O,,,
G,C,,,L,2,F,,,,6,9,,,,,4,D,,,,,,M,1
,,,,,1,M,,,,,,,,,8,,C,,6,J,,,G,
,4,,,,,O,,,E,9,,,,K,L,,,,G,5,,,,H
,,O,I,K,,,,D,4,,,,J,L,,,3,1,,,,,F,
9,,,,,,,L,P,3,,,,O,,,K,F,B,,I,8,,,C
,,6,,,J,9,B,,,3,P,G,D,,2,,8,,,A,,7,N,
,,,J,,I,,F,,1,,,,,8,C,,,N,,L,6,,4,
