,,8,I,,M,,E,,,O,,F,G,,,L,3,,,9,K,,5,H
,C,7,,O,8,,H,,,5,,,L,,9,P,,F,2,,A,,6,
B,D,9,,,,,G,,,,6,P,,,1,H,,,,,,,,L
H,,L,,,F,,,3,A,,C,8,,,,M,I,,,,O,J,,E
P,,4,5,,B,,,,D,,A,,K,,,6,,,7,8,2,,C,
,,,,F,4,M,N,,,I,1,E,5,L,,,P,6,,,C,O,,
,,2,C,1,,,,,F,,,,,,5,9,,D,,,,,,B
L,M,E,,,O,,5,6,,,7,,,2,K,,,,,D,I,F,,4
N,,3,J,7,9,,,,,C,P,,,6,2,B,H,,,,8,K,1,A
,8,,,,,C,K,,2,,,,,,,,4,J,M,,,,,7
A,B,,,,,K,,,M,,,,E,,,,,1,9,,H,3,,G
,H,D,,,L,,3,E,1,,N,G,9,,8,J,A,P,6,B,,I,M,
6,N,F,,8,,O,,,,,D,,1,,,,,L,,E,9,,,
,5,I,,,J,,A,P,H,,8,L,C,,M,E,G,2,O,N,,1,K,
M,J,,,,,B,,,8,,,,H,,,,,4,I,,7,2,,O
,4,,,,,8,B,,6,,,,,,,,5,9,D,,,,,P
3,,5,M,D,P,,,,,H,9,,,I,O,4,2,,,,E,L,B,1
2,I,K,,,A,,4,L,,,F,,,1,C,,,,,J,3,8,,5
,,A,H,G,,,,,I,,,,,,F,1,,3,,,,,,M
,,,,B,H,3,1,,,E,5,M,A,4,,,K,7,,,6,9,,
K,,M,3,,C,,,,E,,I,,P,,,F,,,5,O,B,,2,
5,,H,,,3,,,F,O,,E,A,,,,2,7,,,,G,6,,N
O,P,J,,,,,M,,,,H,7,,,6,8,,,,,,,,I
,E,C,,2,D,,9,,,M,,,6,,4,N,,A,L,,1,,H,
,,N,A,,7,,6,,,F,,5,O,,,K,J,,,4,M,,D,9
