2,D,1,,J,,,6,M,,,,,,,,C,L,,,9,,7,N,A
,5,,P,,K,,O,8,7,,3,,J,,9,1,B,,I,,F,,E,
B,,I,,E,,4,,,,,,,,,,,,6,,P,,D,,8
O,,7,C,F,,,2,P,,,9,A,L,,,8,N,,,5,G,6,,I
N,,A,L,9,3,,,,E,,,,,,7,,,,K,J,1,2,,H
J,,D,,B,,K,,5,,4,7,,P,3,,N,,H,,6,,G,,9
P,,,F,,,,,,2,,,H,,,8,,,,,,7,,,L
L,,9,N,,7,,,J,,,B,C,1,,,A,,,P,,E,K,,2
A,2,E,,5,,L,,H,,6,,,,8,,B,,4,,D,,C,M,P
7,I,,,,,,3,O,D,9,F,,2,J,6,L,5,,,,,,1,B
,,3,,,,,,6,,,,,,,,J,,,,,,O,,
E,7,,,H,A,O,,1,K,,,,,,D,I,,8,N,G,,,9,5
,,,,,,G,D,N,,E,L,,F,7,,4,A,9,,,,,,
5,L,,I,1,8,,,,,G,J,P,O,D,,,,,6,A,N,,C,3
,,,6,,E,3,,,,,A,M,C,,,,,L,O,,P,,,
,,,,,,,5,I,,,,,,,,D,6,,C,,,,,
M,,,7,P,,,K,9,,I,C,O,6,A,,E,3,,,8,L,,,D
,E,O,J,K,,,C,,,P,H,,3,1,,,8,,,M,2,9,G,
,,,9,L,N,F,,,,K,8,,B,G,,,,P,H,C,4,,,
I,,C,D,,,P,,B,,7,5,J,M,4,,F,,K,,,H,A,,E
,,,,C,,2,,7,,F,6,8,5,E,,3,,J,,H,,,,
8,,,G,6,,,,,,1,,,,C,,,,,,N,B,,,4
,B,,,,1,A,,,F,J,O,,7,9,H,,,M,D,,,,K,
3,O,J,,N,,,M,,5,,,I,,,E,,1,,,F,,P,L,G
,,,,7,6,,J,4,8,2,P,,K,L,F,G,I,,C,E,,,,
