,P,B,,E,3,,,4,,,,H,,,,L,,,K,I,,8,G,
9,,,H,G,,,B,,,J,8,,4,M,,,3,,,K,O,,,L
,N,3,,,,C,,2,,1,,,,B,,G,,8,,,,E,4,
6,,L,,,A,,1,9,D,,,5,,,M,C,P,,7,,,H,,B
,I,,8,,E,,,,N,C,,L,,K,9,,,,J,,7,,A,
,B,F,L,,,,,C,,,,9,,,,H,,,,,2,G,K,
H,E,,K,O,,F,9,A,,,,,,,,J,1,7,,5,B,,P,6
3,,P,6,,L,,G,,,,2,,F,,,,8,,A,,4,N,,J
,,,,9,,D,,,4,E,,O,,I,5,,,N,,L,,,,
5,C,4,,D,1,H,P,B,2,,,3,,,L,F,K,9,M,8,,O,7,E
M,,5,,L,D,,O,,,I,G,,C,N,,,9,,2,1,,3,,K
7,,8,4,A,C,K,,,,3,,F,,2,,,,I,L,D,J,9,,P
,F,6,,,,P,,H,L,,,,,,B,8,,K,,,,M,2,
1,,,,,,E,2,M,9,,7,,6,,N,A,5,F,,,,,,4
2,,,P,I,,1,3,,6,,,K,,,J,,D,C,,F,G,,,A
,L,G,7,4,,J,5,N,8,,,I,,,1,O,6,2,,M,K,D,E,
,6,,M,,,,K,1,,O,,,,P,,5,E,,,,N,,F,C
J,,1,B,,H,,,G,M,,,,,,7,N,,,D,,C,6,,9
K,,,,,9,3,,,F,M,,7,,5,P,,,J,C,,,,,8
,2,C,9,,,,E,,A,,4,J,8,,3,,F,,,,1,5,H,
,H,O,G,,,,,,,,L,,I,,,,,,,,9,J,1,C
N,,A,,,,,M,,,,D,,P,,,,B,,,,,L,,G
L,D,,,2,I,,,P,K,H,,,,G,A,M,,,1,4,,,5,C
,,M,,8,,4,F,,,,3,,A,,,,J,G,,B,,K,,
,,I,,P,8,,A,D,G,,K,,5,,C,4,L,,O,H,,7,,
