9,,L,5,I,K,O,A,P,,,,8,,,,D,N,F,1,G,C,J,,E
A,,,,,,,,3,,1,C,N,5,K,,M,,,,,,,,F
,,,B,E,6,,N,,,,D,F,2,,,,K,,3,7,4,,,
,P,,,H,,,4,2,,,7,9,L,,,C,B,,,N,,,1,
2,,,K,O,,,F,G,E,B,H,P,J,I,8,4,5,,,9,6,,,3
,,B,,,I,9,,8,N,K,,L,,5,G,P,,E,H,,,3,,
,,K,,D,3,M,P,,,J,1,E,H,O,,,F,C,N,6,,9,,
E,,N,8,,,,,H,A,,B,6,4,,M,5,,,,,D,O,,K
,,,C,A,,,,,6,3,,M,,P,J,,,,,I,E,,,
5,,2,,P,F,,E,,C,,,I,,,D,,O,,6,4,,L,,H
,,E,9,,1,,5,F,,,N,H,7,,,K,L,,2,,O,A,,
,,4,,,,,H,,K,,,J,,,O,,A,,,,,I,,
H,1,5,F,K,M,6,B,7,G,C,A,4,O,3,N,8,J,9,I,D,2,E,L,P
,,I,,,,,L,,O,,,K,,,3,,H,,,,,G,,
,,3,O,,J,,2,A,,,6,1,I,,,E,C,,G,,H,F,,
M,,A,,6,H,,C,,J,,,B,,,F,,I,,5,3,,8,,N
,,,H,5,,,,,4,M,,O,,C,1,,,,,2,L,,,
I,,9,7,,,,,M,D,,4,G,3,,E,H,,,,,B,1,,A
,,C,,1,5,A,I,,,E,K,7,8,H,,,M,4,J,F,,6,,
,,O,,,7,P,,1,2,A,,5,,J,K,3,,L,D,,,H,,
1,,,E,M,,,7,6,H,5,L,3,K,4,A,N,2,,,O,9,,,I
,5,,,2,,,M,B,,,O,D,P,,,G,3,,,L,,,H,
,,,3,N,2,,O,,,,M,C,E,,,,8,,7,A,1,,,
O,,,,,,,,5,,7,G,A,1,F,,I,,,,,,,,2
4,,6,A,F,G,C,3,I,,,,2,,,,9,D,K,O,E,7,P,,M
